Kluver	3.5	Pirates of the Caribbean: The Curse of the Black Pearl
Kluver	4.0	Finding Nemo
Kluver	4.5	The Dark Knight
Kluver	4.5	Batman Begins
Kluver	4.0	The Incredibles
Kluver	3.5	Men in Black
Kluver	4.0	Minority Report
Kluver	4.0	The Lord of the Rings: The Return of the King
Kluver	4.0	Back to the Future
Kluver	4.0	The Lord of the Rings: The Two Towers
Kluver	2.5	Star Wars: Episode II - Attack of the Clones
Kluver	4.5	Aladdin
Kluver	3.0	Batman
Kluver	4.0	Crouching Tiger, Hidden Dragon
Kluver	4.5	Monsters, Inc.
Kluver	4.0	Shrek
Kluver	3.0	The Mask
Kluver	3.5	The Matrix Reloaded
Kluver	4.0	Ocean's Eleven
Kluver	4.0	Star Wars: Episode IV - A New Hope
Kluver	4.0	Star Wars: Episode V - The Empire Strikes Back
Kluver	4.0	Memento
Kluver	4.5	The Matrix
Kluver	4.0	Star Wars: Episode VI - Return of the Jedi
Kluver	4.0	Catch Me If You Can
Kluver	4.0	The Sixth Sense
Kluver	4.0	Toy Story
Kluver	4.0	Raiders of the Lost Ark
hi mom	3.5	Meet the Parents
hi mom	2.5	The Mask
hi mom	4.5	Se7en
hi mom	4.5	The Matrix
hi mom	3.0	The Lion King
hi mom	4.0	Raiders of the Lost Ark
hi mom	3.0	Catch Me If You Can
hi mom	4.0	Charlie's Angels
hi mom	4.5	Die Hard: With a Vengeance
hi mom	1.5	Dumb and Dumber
k279	4.0	Beauty and the Beast
k279	5.0	The Dark Knight
k279	5.0	The Lord of the Rings: The Return of the King
k279	5.0	Forrest Gump
k279	4.0	Clear and Present Danger
k279	3.5	Jurassic Park
k279	4.0	Star Wars: Episode VI - Return of the Jedi
8ccfa5d6-6f0b-407f-a463-0e1f745f9dad	4.0	Shrek
8ccfa5d6-6f0b-407f-a463-0e1f745f9dad	3.0	The Fugitive
k279	3.5	The Shawshank Redemption
k279	3.0	The Bourne Identity
k279	4.5	Shrek 2
8ccfa5d6-6f0b-407f-a463-0e1f745f9dad	3.0	The Incredibles
k279	3.0	Star Wars: Episode IV - A New Hope
k279	2.5	Mrs. Doubtfire
k279	3.0	Stargate
8ccfa5d6-6f0b-407f-a463-0e1f745f9dad	3.5	Finding Nemo
8ccfa5d6-6f0b-407f-a463-0e1f745f9dad	4.0	Back to the Future
k279	1.0	Dances with Wolves
8ccfa5d6-6f0b-407f-a463-0e1f745f9dad	3.0	Harry Potter and the Chamber of Secrets
k279	3.0	The Lion King
8ccfa5d6-6f0b-407f-a463-0e1f745f9dad	4.5	Saving Private Ryan
k279	5.0	Harry Potter and the Chamber of Secrets
8ccfa5d6-6f0b-407f-a463-0e1f745f9dad	3.5	The Matrix
8ccfa5d6-6f0b-407f-a463-0e1f745f9dad	4.0	Fight Club
k279	3.0	Spider-Man
8ccfa5d6-6f0b-407f-a463-0e1f745f9dad	4.5	The Lord of the Rings: The Fellowship of the Ring
k279	3.0	Spider-Man 2
k279	4.5	Star Wars: Episode V - The Empire Strikes Back
k279	3.5	Finding Nemo
k279	5.0	Men in Black
k279	5.0	The Lord of the Rings: The Fellowship of the Ring
k279	3.5	Twister
k279	3.5	Gladiator
k279	5.0	Pirates of the Caribbean: The Curse of the Black Pearl
k279	3.0	Crouching Tiger, Hidden Dragon
k279	4.0	The Matrix Reloaded
k279	1.5	Fight Club
k279	4.5	Braveheart
k279	2.5	Chicken Run
k279	4.5	Star Wars: Episode II - Attack of the Clones
k279	2.5	E.T. the Extra-Terrestrial
k279	4.0	Raiders of the Lost Ark
k279	4.5	O Brother, Where Art Thou?
k279	5.0	The Matrix
k279	5.0	Shrek
k279	3.0	Titanic
k279	4.5	The Lord of the Rings: The Two Towers
k279	3.0	Cast Away
k279	5.0	Back to the Future
8ccfa5d6-6f0b-407f-a463-0e1f745f9dad	2.0	Shrek 2
